"","z_log_casos100k","z_log_obitos100k","z_logit_letal","z_pop","z_area","z_densidade","z_pibpc","z_idhm","z_idm","z_desp.saude","z_desp.educ","z_ideb5","z_ideb9","z_ideb3","z_tax.agua","z_energia100k","z_tax.hom","z_eleitas.fem","z_bolsaf","z_sus1k","z_leitos1k","z_prof1k","metrop","semiarido","z_pop.rural","aliadogov","z_votos","z_ivs.infra","z_ivs.capital","z_ivs.renda","z_emprego","z_ex.pobr","z_imuni","z_idosos","z_int.circ","z_int.resp","z_int.diab","z_int.asma"
"z_desp.educ",-0.0645959632603975,-0.141120997261509,-0.0987761197232554,-0.205521236098451,-0.276402736428323,-0.151522054054208,0.152537589244433,-0.30407496489046,-0.076156120546681,0.28158688881551,1,0.153864629493991,0.0759238429244049,-0.204653059339264,0.0373900554433612,-0.0585473027272217,-0.0350588687352231,0.166888986424307,0.364676271200857,0.278113989147052,0.00639259448038084,0.205293042224324,-0.0559175701604445,-0.0781676825936625,0.191080410379154,-0.0353100629815496,0.0103933373097457,0.0746199310298519,0.238271451226461,0.193279278050833,0.14225834043307,0.273084530692885,-0.0482323902499676,-0.00320308906524214,-0.0777080561923498,-0.0824143954071517,-0.0777915143306492,-0.117081495641506
"z_ideb5",0.12328599086545,0.0114201485482851,-0.12983499098779,-0.0366527796979241,0.0196081715399348,-0.0392894813722102,-0.00122448415050883,-0.0566624874456138,-0.0468227585251765,0.0437598373340227,0.153864629493991,1,0.741718927013355,0.0581657711898063,-0.0146015867010289,-0.0210808980840663,-0.155592562784887,-0.0866986442223217,-0.0221282126734528,0.0404538136789585,-0.0351586998384365,0.119512383174451,-0.111192671091495,-0.0735768025784304,0.014575191729211,-0.133416242706609,0.106126070168546,-0.0810366276310302,0.0369315930897392,0.0731296700226945,0.0160750286348609,0.132708090118034,0.128815506026213,0.101914030070122,0.0249395860303167,-0.00821023323905661,-0.0909665682257025,-0.114107431761017
"z_ideb9",0.120530343330173,-0.0385050018678795,-0.187161595104212,-0.0230615535583605,0.0654574430721643,-0.0237930975387471,0.0579325431982619,0.0401876970318479,0.003981484237049,0.0933915578931656,0.0759238429244049,0.741718927013355,1,0.177410909669121,-0.053412568622403,0.0836912787275975,-0.0321135925551772,-0.00639875763183331,-0.133163536191054,0.0446931825689452,0.088073313054271,0.170322692531232,-0.0917659398050102,0.0013551813345819,0.0423407994516721,-0.107028925466014,0.0663145422646175,-0.0658601559893467,-0.0665334148854295,0.0145854134631264,0.0765534802936308,0.0390125239520139,0.15758339761946,0.0183072223799118,0.0955171276277553,0.00549764646262806,-0.075401564483736,-0.0497342641216468
"z_ideb3",0.0150948246929557,0.0964923260742979,0.100852178464473,0.0161745971939286,0.103653590257661,-0.00692901937207217,0.0620776672475316,0.168533462476343,0.193842004331626,-0.00395054284216097,-0.204653059339264,0.0581657711898063,0.177410909669121,1,-0.0960814806923134,0.202174710949601,-0.0311271826304614,-0.290975823502864,-0.256946141202175,-0.173965611944506,0.0508041254412833,-0.0429566698597135,-0.0296840774579415,0.0198166518019278,-0.0647290144861391,-0.0386789980946467,-0.0842979037094328,-0.149855989428254,-0.152024623649578,-0.0780199959144647,0.0767622946967207,-0.164409688878194,-0.00967559873140198,0.0872997703948596,0.147439773067098,0.164436381743716,0.107807851431036,0.10932105661108
"z_tax.agua",-0.122570599918781,-0.13643052814368,-0.0254556407682681,0.00962863093690054,0.0188150292525494,0.0178408032409726,-0.0406920030180364,-0.0267972122452538,-0.062202611452662,-0.0516824142148748,0.0373900554433612,-0.0146015867010289,-0.053412568622403,-0.0960814806923134,1,-0.134424508052135,-0.0549982238869408,-0.00264612901700446,-0.00302488195031788,0.121510411728642,0.0187943882609576,0.0276127181642273,-0.116882934331711,0.198710194017689,-0.022987059222818,0.0316471780827775,-0.00504281600071559,-0.12304691586123,0.0277110086212275,0.0741286831890254,-0.0950984607227358,0.0414241311070434,0.00416883544386071,0.180050455185282,-0.0308204005123714,0.0466000045231061,0.00533677608189573,0.0337524806037874
"z_energia100k",0.229914876293724,0.247526890486913,0.0354240191178009,0.149534241635092,-0.0800489243756123,0.172526914997854,0.540255461934145,0.536904714277878,0.59156934683833,0.41133448560121,-0.0585473027272217,-0.0210808980840663,0.0836912787275975,0.202174710949601,-0.134424508052135,1,0.218959383814411,-0.115884761882091,-0.431830515850477,-0.163217386709068,0.0863570694794465,0.223527632840372,0.340807588003055,-0.188916206978282,-0.403813316541885,0.10952584333763,0.128944292279868,-0.0880027366775619,-0.336225637948155,-0.483455338168707,0.65621246308673,-0.577487134315861,-0.0520931514130752,-0.229699801605696,0.163684867262497,0.00471475337926982,-0.10149014666198,0.00256732906892382
"z_tax.hom",0.157439641533821,0.166193554775499,0.0211566561767953,0.0456625174358373,-0.075090649608022,0.0649630937347747,0.267263945618267,0.190321855278237,0.173199406578255,0.0501065278043825,-0.0350588687352231,-0.155592562784887,-0.0321135925551772,-0.0311271826304614,-0.0549982238869408,0.218959383814411,1,-0.107634271556009,-0.117670826866247,0.0532594206841522,-0.123890397640613,0.0390192515364961,0.356799659179684,-0.0982656521992797,-0.140770714162261,0.0195175123313551,-0.053006952704625,0.136818833824718,-0.0759147918809001,-0.279240065494285,0.169291012540819,-0.305775569099216,0.0121243708148094,-0.217806141412803,0.000360498508159238,-0.14645505790164,-0.0210879799196438,-0.0326795375555776
"z_eleitas.fem",-0.0278425882830438,-0.200246148033158,-0.211083335254917,-0.0575192544364283,-0.0555052523549948,-0.0448512198200108,-0.0510307466584149,-0.0980790789045233,-0.168212926515348,0.0893885801676276,0.166888986424307,-0.0866986442223217,-0.00639875763183331,-0.290975823502864,-0.00264612901700446,-0.115884761882091,-0.107634271556009,1,0.0487246841913285,0.147216689817265,0.094664368609371,0.0859039081551059,-0.064574693222775,0.0849282541818112,0.0246999280127312,-0.0562729851081836,0.0854672891971783,0.118691629734383,0.0427379036017944,0.0458638895664911,-0.0815062692517446,0.113686982786719,-0.085390165806903,0.0460576944458498,-0.144862510511193,-0.148003161268089,0.00792686152463526,-0.140248992040529
"z_bolsaf",-0.16798946489814,-0.170270586072736,-0.0148612500182835,-0.284831837136625,-0.0473454228598513,-0.289918751199706,-0.289173756492486,-0.592451156088966,-0.357746853294407,-0.233658021945733,0.364676271200857,-0.0221282126734528,-0.133163536191054,-0.256946141202175,-0.00302488195031788,-0.431830515850477,-0.117670826866247,0.0487246841913285,1,0.239152333926006,-0.090125367926944,-0.162408795949557,-0.293400025201096,-0.0146025707826227,0.431417500003627,0.000154124271491083,-0.0587505010274744,0.246064147683554,0.497951719635466,0.501828831399876,-0.387207317509405,0.639301732761901,0.0437377867355814,0.0732862981367506,-0.198140614903467,-0.0699215105302337,-0.0617355197934253,-0.0310945348858002
"z_sus1k",-0.0928034494348132,-0.257616891227528,-0.208297622875178,-0.252498830076769,-0.231402018861576,-0.219339581552064,-0.180373334214403,-0.245963675981152,-0.301225282713002,0.251378165839167,0.278113989147052,0.0404538136789585,0.0446931825689452,-0.173965611944506,0.121510411728642,-0.163217386709068,0.0532594206841522,0.147216689817265,0.239152333926006,1,0.190009065284683,0.403454900846742,-0.285724076242484,0.212907121280539,0.327942486924318,-0.0782977718931133,0.151778792186236,-0.0753957154359779,0.0258325577212824,0.1958824632576,-0.160977649274437,0.141440492410291,-0.00859416253032413,0.183642484489694,0.150533545351103,0.128912664367513,0.228862358817903,0.0313264085568717
